bioguide,nominate_dim1,name,birth_date,party,twitter,screen_name
M001190,0.52,Markwayne Mullin,1977-07-26,Republican,RepMullin,repmullin
H001082,0.685,Kevin Hern,1961-12-04,Republican,repkevinhern,repkevinhern
B000740,0.385,Stephanie I. Bice,1973-11-11,Republican,RepBice,repbice
L000491,0.363,Frank D. Lucas,1960-01-06,Republican,RepFrankLucas,repfranklucas
D000191,-0.428,Peter A. DeFazio,1947-05-27,Democratic,RepPeterDeFazio,reppeterdefazio
S001180,-0.185,Kurt Schrader,1951-10-19,Democratic,RepSchrader,repschrader
B001278,-0.394,Suzanne Bonamici,1954-10-14,Democratic,RepBonamici,repbonamici
B000668,0.376,Cliff Bentz,1952-01-12,Republican,RepBentz,repbentz
B000574,-0.428,Earl Blumenauer,1948-08-16,Democratic,BlumenauerMedia,blumenauermedia
T000467,0.316,Glenn Thompson,1959-07-27,Republican,CongressmanGT,congressmangt
K000376,0.358,Mike Kelly,1948-05-10,Republican,MikeKellyPA,mikekellypa
P000605,0.636,Scott Perry,1962-05-27,Republican,RepScottPerry,repscottperry
C001090,-0.365,Matt Cartwright,1961-05-01,Democratic,RepCartwright,repcartwright
B001296,-0.4,Brendan F. Boyle,1977-02-06,Democratic,CongBoyle,congboyle
E000296,-0.459,Dwight Evans,1954-05-16,Democratic,RepDwightEvans,repdwightevans
F000466,0.166,Brian K. Fitzpatrick,1973-12-17,Republican,repbrianfitz,repbrianfitz
S001199,0.427,Lloyd Smucker,1964-01-23,Republican,RepSmucker,repsmucker
L000588,-0.132,Conor Lamb,1984-06-27,Democratic,RepConorLamb,repconorlamb
S001205,-0.462,Mary Gay Scanlon,1959-08-30,Democratic,RepMGS,repmgs
W000826,-0.323,Susan Wild,1957-06-07,Democratic,RepSusanWild,repsusanwild
D000631,-0.48,Madeleine Dean,1959-06-06,Democratic,RepDean,repdean
H001085,-0.318,Chrissy Houlahan,1967-06-05,Democratic,RepHoulahan,rephoulahan
J000302,0.53,John Joyce,1957-02-08,Republican,RepJohnJoyce,repjohnjoyce
M001204,0.531,Daniel Meuser,1964-02-10,Republican,RepMeuser,repmeuser
R000610,0.375,Guy Reschenthaler,1983-04-17,Republican,GReschenthaler,greschenthaler
K000395,0.499,Fred Keller,1965-10-23,Republican,RepFredKeller,repfredkeller
D000482,-0.331,Michael F. Doyle,1953-08-05,Democratic,USRepMikeDoyle,usrepmikedoyle
L000559,-0.375,James R. Langevin,1964-04-22,Democratic,JimLangevin,jimlangevin
C001084,-0.389,David N. Cicilline,1961-07-15,Democratic,RepCicilline,repcicilline
W000795,0.536,Joe Wilson,1947-07-31,Republican,RepJoeWilson,repjoewilson
D000615,0.735,Jeff Duncan,1966-01-07,Republican,RepJeffDuncan,repjeffduncan
R000597,0.592,Tom Rice,1957-08-04,Republican,RepTomRice,reptomrice
N000190,0.801,Ralph Norman,1953-06-20,Republican,RepRalphNorman,repralphnorman
T000480,0.587,William R. Timmons IV,1984-04-30,Republican,RepTimmons,reptimmons
M000194,0.401,Nancy Mace,1977-12-04,Republican,RepNancyMace,repnancymace
C000537,-0.464,James E. Clyburn,1940-07-21,Democratic,WhipClyburn,whipclyburn
J000301,0.461,Dusty Johnson,1976-09-30,Republican,RepDustyJohnson,repdustyjohnson
C000754,-0.164,Jim Cooper,1954-06-19,Democratic,RepJimCooper,repjimcooper
C001068,-0.401,Steve Cohen,1949-05-24,Democratic,RepCohen,repcohen
F000459,0.457,"Charles J. ""Chuck"" Fleischmann",1962-10-11,Republican,RepChuck,repchuck
D000616,0.585,Scott DesJarlais,1964-02-21,Republican,DesJarlaisTN04,desjarlaistn04
K000392,0.524,David Kustoff,1966-10-08,Republican,repdavidkustoff,repdavidkustoff
B001309,0.67,Tim Burchett,1964-08-25,Republican,RepTimBurchett,reptimburchett
G000590,0.678,Mark E. Green,1964-11-08,Republican,RepMarkGreen,repmarkgreen
R000612,0.68,John Rose,1965-02-23,Republican,RepJohnRose,repjohnrose
H001086,0.652,Diana Harshbarger,1960-01-01,Republican,RepHarshbarger,repharshbarger
B001248,0.573,Michael C. Burgess,1950-12-23,Republican,MichaelCBurgess,michaelcburgess
C001051,0.474,John R. Carter,1941-11-06,Republican,JudgeCarter,judgecarter
G000552,0.633,Louie Gohmert,1953-08-18,Republican,RepLouieGohmert,replouiegohmert
G000553,-0.438,Al Green,1947-09-01,Democratic,RepAlGreen,repalgreen
M001157,0.43,Michael T. McCaul,1962-01-14,Republican,RepMcCaul,repmccaul
C001063,-0.228,Henry Cuellar,1955-09-19,Democratic,RepCuellar,repcuellar
W000814,0.712,"Randy K. Weber, Sr.",1953-07-02,Republican,TXRandy14,txrandy14
C001091,-0.4,Joaquin Castro,1974-09-16,Democratic,JoaquinCastrotx,joaquincastrotx
W000816,0.584,Roger Williams,1949-09-13,Republican,RepRWilliams,reprwilliams
V000131,-0.401,Marc A. Veasey,1971-01-03,Democratic,RepVeasey,repveasey
V000132,-0.312,Filemon Vela,1963-02-13,Democratic,RepFilemonVela,repfilemonvela
B001291,0.702,Brian Babin,1948-03-23,Republican,RepBrianBabin,repbrianbabin
A000375,0.643,Jodey C. Arrington,1972-03-09,Republican,RepArrington,reparrington
G000581,-0.381,Vicente Gonzalez,1967-09-04,Democratic,RepGonzalez,repgonzalez
C001115,0.667,Michael Cloud,1975-05-13,Republican,RepCloudTX,repcloudtx
A000376,-0.431,Colin Z. Allred,1983-04-15,Democratic,RepColinAllred,repcolinallred
C001120,0.4,Dan Crenshaw,1984-03-14,Republican,RepDanCrenshaw,repdancrenshaw
E000299,-0.392,Veronica Escobar,1969-09-15,Democratic,RepEscobar,repescobar
F000468,-0.408,Lizzie Fletcher,1975-02-13,Democratic,RepFletcher,repfletcher
G000587,-0.747,Sylvia R. Garcia,1950-09-06,Democratic,RepSylviaGarcia,repsylviagarcia
G000589,0.722,Lance Gooden,1982-12-01,Republican,,
R000614,0.8,Chip Roy,1972-08-07,Republican,RepChipRoy,repchiproy
T000479,0.551,Van Taylor,1972-08-01,Republican,RepVanTaylor,repvantaylor
F000246,0.734,Pat Fallon,1967-12-19,Republican,RepPatFallon,reppatfallon
G000594,0.276,Tony Gonzales,1980-10-10,Republican,RepTonyGonzales,reptonygonzales
J000304,0.746,Ronny Jackson,1967-05-04,Republican,RepRonnyJackson,repronnyjackson
N000026,0.546,Troy E. Nehls,1968-04-07,Republican,RepTroyNehls,reptroynehls
P000048,0.666,August Pfluger,1978-12-28,Republican,RepPfluger,reppfluger
V000134,0.498,Beth Van Duyne,1970-11-16,Republican,RepBethVanDuyne,repbethvanduyne
E000071,0.466,Jake Ellzey,1970-01-24,Republican,,
D000399,-0.402,Lloyd Doggett,1946-10-06,Democratic,RepLloydDoggett,replloyddoggett
J000032,-0.46,Sheila Jackson Lee,1950-01-12,Democratic,JacksonLeeTX18,jacksonleetx18
S000250,0.587,Pete Sessions,1955-03-22,Republican,,
B000755,0.524,Kevin Brady,1955-04-11,Republican,RepKevinBrady,repkevinbrady
G000377,0.398,Kay Granger,1943-01-18,Republican,RepKayGranger,repkaygranger
J000126,-0.485,Eddie Bernice Johnson,1935-12-03,Democratic,RepEBJ,repebj
S001192,0.526,Chris Stewart,1960-07-15,Republican,RepChrisStewart,repchrisstewart
C001114,0.517,John R. Curtis,1960-05-10,Republican,RepJohnCurtis,repjohncurtis
M001213,0.37,Blake D. Moore,1980-06-22,Republican,RepBlakeMoore,repblakemoore
O000086,0.484,Burgess Owens,1951-08-02,Republican,RepBurgessOwens,repburgessowens
W000800,-0.409,Peter Welch,1947-05-02,Democratic,PeterWelch,peterwelch
W000804,0.446,Robert J. Wittman,1959-02-03,Republican,RobWittman,robwittman
C001078,-0.306,Gerald E. Connolly,1950-03-30,Democratic,GerryConnolly,gerryconnolly
G000568,0.546,H. Morgan Griffith,1958-03-15,Republican,RepMGriffith,repmgriffith
B001292,-0.385,"Donald S. Beyer, Jr.",1950-06-20,Democratic,RepDonBeyer,repdonbeyer
M001200,-0.375,A. Donald McEachin,1961-10-10,Democratic,RepMcEachin,repmceachin
C001118,0.699,Ben Cline,1972-02-29,Republican,RepBenCline,repbencline
L000591,-0.197,Elaine G. Luria,1975-08-15,Democratic,RepElaineLuria,repelaineluria
S001209,-0.173,Abigail Davis Spanberger,1979-08-07,Democratic,RepSpanberger,repspanberger
W000825,-0.393,Jennifer Wexton,1968-05-27,Democratic,RepWexton,repwexton
G000595,0.8,Bob Good,1965-09-11,Republican,RepBobGood,repbobgood
S000185,-0.45,"Robert C. ""Bobby"" Scott",1947-04-30,Democratic,BobbyScott,bobbyscott
L000560,-0.365,Rick Larsen,1965-06-15,Democratic,RepRickLarsen,repricklarsen
M001159,0.425,Cathy McMorris Rodgers,1969-05-22,Republican,CathyMcMorris,cathymcmorris
H001056,0.353,Jaime Herrera Beutler,1978-11-03,Republican,HerreraBeutler,herrerabeutler
K000381,-0.31,Derek Kilmer,1974-01-01,Democratic,RepDerekKilmer,repderekkilmer
N000189,0.339,Dan Newhouse,1955-07-10,Republican,RepNewhouse,repnewhouse
J000298,-0.695,Pramila Jayapal,1965-09-21,Democratic,RepJayapal,repjayapal
S001216,-0.347,Kim Schrier,1968-08-23,Democratic,RepKimSchrier,repkimschrier
S001159,-0.586,Marilyn Strickland,1962-09-25,Democratic,RepStricklandWA,repstricklandwa
S000510,-0.285,Adam Smith,1965-06-15,Democratic,RepAdamSmith,repadamsmith
D000617,-0.283,Suzan K. DelBene,1962-02-17,Democratic,RepDelBene,repdelbene
M001180,0.301,David B. McKinley,1947-03-28,Republican,RepMcKinley,repmckinley
M001195,0.577,Alexander Mooney,1971-06-05,Republican,RepAlexMooney,repalexmooney
M001205,0.476,Carol D. Miller,1950-11-04,Republican,RepCarolMiller,repcarolmiller
M001160,-0.528,Gwen Moore,1951-04-18,Democratic,RepGwenMoore,repgwenmoore
P000607,-0.54,Mark Pocan,1964-08-14,Democratic,RepMarkPocan,repmarkpocan
G000576,0.603,Glenn Grothman,1955-07-03,Republican,RepGrothman,repgrothman
G000579,0.44,Mike Gallagher,1984-03-03,Republican,RepGallagher,repgallagher
S001213,0.425,Bryan Steil,1981-03-30,Republican,RepBryanSteil,repbryansteil
T000165,0.633,Thomas P. Tiffany,1957-12-30,Republican,,
F000471,0.608,Scott Fitzgerald,1963-11-16,Republican,RepFitzgerald,repfitzgerald
K000188,-0.261,Ron Kind,1963-03-16,Democratic,RepRonKind,repronkind
C001109,0.492,Liz Cheney,1966-07-28,Republican,RepLizCheney,replizcheney
T000278,0.936,Tommy Tuberville,1954-09-18,Republican,SenTuberville,sentuberville
S000320,0.442,Richard C. Shelby,1934-05-06,Republican,SenShelby,senshelby
M001153,0.211,Lisa Murkowski,1957-05-22,Republican,LisaMurkowski,lisamurkowski
S001198,0.467,Dan Sullivan,1964-11-13,Republican,SenDanSullivan,sendansullivan
S001191,-0.103,Kyrsten Sinema,1976-07-12,Democratic,SenatorSinema,senatorsinema
K000377,-0.186,Mark Kelly,1964-02-21,Democratic,SenMarkKelly,senmarkkelly
B001236,0.414,John Boozman,1950-12-10,Republican,JohnBoozman,johnboozman
C001095,0.609,Tom Cotton,1977-05-13,Republican,SenTomCotton,sentomcotton
P000145,-0.393,Alex Padilla,1973-03-22,Democratic,SenAlexPadilla,senalexpadilla
F000062,-0.268,Dianne Feinstein,1933-06-22,Democratic,SenFeinstein,senfeinstein
B001267,-0.228,Michael F. Bennet,1964-11-28,Democratic,SenatorBennet,senatorbennet
H000273,-0.24,John W. Hickenlooper,1952-02-07,Democratic,,
M001169,-0.27,Christopher Murphy,1973-08-03,Democratic,senmurphyoffice,senmurphyoffice
B001277,-0.438,Richard Blumenthal,1946-02-13,Democratic,SenBlumenthal,senblumenthal
C000174,-0.177,Thomas R. Carper,1947-01-23,Democratic,SenatorCarper,senatorcarper
C001088,-0.229,Christopher A. Coons,1963-09-09,Democratic,ChrisCoons,chriscoons
R000595,0.589,Marco Rubio,1971-05-28,Republican,SenRubioPress,senrubiopress
S001217,0.659,Rick Scott,1952-12-01,Republican,SenRickScott,senrickscott
O000174,-0.448,Jon Ossoff,1987-02-16,Democratic,SenOssoff,senossoff
W000790,-0.38,Raphael G. Warnock,1969-07-23,Democratic,SenatorWarnock,senatorwarnock
H001042,-0.512,Mazie K. Hirono,1947-11-03,Democratic,MazieHirono,maziehirono
S001194,-0.443,Brian Schatz,1972-10-20,Democratic,SenBrianSchatz,senbrianschatz
C000880,0.502,Mike Crapo,1951-05-20,Republican,MikeCrapo,mikecrapo
R000584,0.583,James E. Risch,1943-05-03,Republican,SenatorRisch,senatorrisch
D000563,-0.348,Richard J. Durbin,1944-11-21,Democratic,SenatorDurbin,senatordurbin
D000622,-0.335,Tammy Duckworth,1968-03-12,Democratic,SenDuckworth,senduckworth
Y000064,0.464,Todd Young,1972-08-24,Republican,SenToddYoung,sentoddyoung
B001310,0.8,Mike Braun,1954-03-24,Republican,SenatorBraun,senatorbraun
G000386,0.348,Chuck Grassley,1933-09-17,Republican,ChuckGrassley,chuckgrassley
E000295,0.541,Joni Ernst,1970-07-01,Republican,SenJoniErnst,senjoniernst
M001198,0.555,Roger Marshall,1960-08-09,Republican,SenatorMarshall,senatormarshall
M000934,0.415,Jerry Moran,1954-05-29,Republican,JerryMoran,jerrymoran
M000355,0.404,Mitch McConnell,1942-02-20,Republican,McConnellPress,mcconnellpress
P000603,0.88,Rand Paul,1963-01-07,Republican,RandPaul,randpaul
C001075,0.459,Bill Cassidy,1957-09-28,Republican,SenBillCassidy,senbillcassidy
K000393,0.606,John Kennedy,1951-11-21,Republican,SenJohnKennedy,senjohnkennedy
K000383,-0.158,"Angus S. King, Jr.",1944-03-31,Independent,SenAngusKing,senangusking
C001035,0.115,Susan M. Collins,1952-12-07,Republican,SenatorCollins,senatorcollins
C000141,-0.319,Benjamin L. Cardin,1943-10-05,Democratic,SenatorCardin,senatorcardin
V000128,-0.391,Chris Van Hollen,1959-01-10,Democratic,ChrisVanHollen,chrisvanhollen
M000133,-0.513,Edward J. Markey,1946-07-11,Democratic,SenMarkey,senmarkey
W000817,-0.757,Elizabeth Warren,1949-06-22,Democratic,SenWarren,senwarren
P000595,-0.246,Gary C. Peters,1958-12-01,Democratic,SenGaryPeters,sengarypeters
S000770,-0.342,Debbie Stabenow,1950-04-29,Democratic,SenStabenow,senstabenow
K000367,-0.285,Amy Klobuchar,1960-05-25,Democratic,SenAmyKlobuchar,senamyklobuchar
S001203,-0.398,Tina Smith,1958-03-04,Democratic,SenTinaSmith,sentinasmith
W000437,0.379,Roger F. Wicker,1951-07-05,Republican,SenatorWicker,senatorwicker
H001079,0.423,Cindy Hyde-Smith,1959-05-10,Republican,SenHydeSmith,senhydesmith
B000575,0.415,Roy Blunt,1950-01-10,Republican,RoyBlunt,royblunt
H001089,0.712,Josh Hawley,1979-12-31,Republican,SenHawleyPress,senhawleypress
D000618,0.572,Steve Daines,1962-08-20,Republican,SteveDaines,stevedaines
T000464,-0.215,Jon Tester,1956-08-21,Democratic,SenatorTester,senatortester
F000463,0.452,Deb Fischer,1951-03-01,Republican,SenatorFischer,senatorfischer
S001197,0.713,Ben Sasse,1972-02-22,Republican,SenSasse,sensasse
R000608,-0.285,Jacky Rosen,1957-08-02,Democratic,SenJackyRosen,senjackyrosen
C001113,-0.367,Catherine Cortez Masto,1964-03-29,Democratic,sencortezmasto,sencortezmasto
S001181,-0.237,Jeanne Shaheen,1947-01-28,Democratic,SenatorShaheen,senatorshaheen
H001076,-0.23,Margaret Wood Hassan,1958-02-27,Democratic,Senatorhassan,senatorhassan
M000639,-0.367,Robert Menendez,1954-01-01,Democratic,SenatorMenendez,senatormenendez
B001288,-0.591,Cory A. Booker,1969-04-27,Democratic,SenBooker,senbooker
H001046,-0.33,Martin Heinrich,1971-10-17,Democratic,MartinHeinrich,martinheinrich
L000570,-0.368,Ben Ray Luján,1972-06-07,Democratic,SenatorLujan,senatorlujan
S000148,-0.359,Charles E. Schumer,1950-11-23,Democratic,SenSchumer,senschumer
G000555,-0.473,Kirsten E. Gillibrand,1966-12-09,Democratic,GillibrandNY,gillibrandny
B001135,0.441,Richard Burr,1955-11-30,Republican,SenatorBurr,senatorburr
T000476,0.423,Thom Tillis,1960-08-30,Republican,senthomtillis,senthomtillis
C001096,0.392,Kevin Cramer,1961-01-21,Republican,SenKevinCramer,senkevincramer
H001061,0.36,John Hoeven,1957-03-13,Republican,SenJohnHoeven,senjohnhoeven
P000449,0.37,Rob Portman,1955-12-19,Republican,SenRobPortman,senrobportman
B000944,-0.428,Sherrod Brown,1952-11-09,Democratic,SenSherrodBrown,sensherrodbrown
I000024,0.555,James M. Inhofe,1934-11-17,Republican,InhofePress,inhofepress
L000575,0.596,James Lankford,1968-03-04,Republican,SenatorLankford,senatorlankford
W000779,-0.33,Ron Wyden,1949-05-03,Democratic,RonWyden,ronwyden
M001176,-0.44,Jeff Merkley,1956-10-24,Democratic,SenJeffMerkley,senjeffmerkley
T000461,0.634,Patrick J. Toomey,1961-11-17,Republican,SenToomey,sentoomey
C001070,-0.314,"Robert P. Casey, Jr.",1960-04-13,Democratic,SenBobCasey,senbobcasey
R000122,-0.367,Jack Reed,1949-11-12,Democratic,SenJackReed,senjackreed
W000802,-0.355,Sheldon Whitehouse,1955-10-20,Democratic,SenWhitehouse,senwhitehouse
S001184,0.625,Tim Scott,1965-09-19,Republican,SenatorTimScott,senatortimscott
G000359,0.394,Lindsey Graham,1955-07-09,Republican,GrahamBlog,grahamblog
T000250,0.42,John Thune,1961-01-07,Republican,SenJohnThune,senjohnthune
R000605,0.382,Mike Rounds,1954-10-24,Republican,SenatorRounds,senatorrounds
B001243,0.623,Marsha Blackburn,1952-06-06,Republican,MarshaBlackburn,marshablackburn
H000601,0.705,Bill Hagerty,1959-08-14,Republican,SenatorHagerty,senatorhagerty
C001056,0.479,John Cornyn,1952-02-02,Republican,JohnCornyn,johncornyn
C001098,0.839,Ted Cruz,1970-12-22,Republican,SenTedCruz,sentedcruz
L000577,0.902,Mike Lee,1971-06-04,Republican,SenMikeLee,senmikelee
R000615,0.299,Mitt Romney,1947-03-12,Republican,SenatorRomney,senatorromney
L000174,-0.36,Patrick J. Leahy,1940-03-31,Democratic,SenatorLeahy,senatorleahy
S000033,-0.531,Bernard Sanders,1941-09-08,Independent,SenSanders,sensanders
W000805,-0.203,Mark R. Warner,1954-12-15,Democratic,MarkWarner,markwarner
K000384,-0.243,Tim Kaine,1958-02-26,Democratic,,
C000127,-0.305,Maria Cantwell,1958-10-13,Democratic,SenatorCantwell,senatorcantwell
M001111,-0.352,Patty Murray,1950-10-11,Democratic,PattyMurray,pattymurray
C001047,0.268,Shelley Moore Capito,1953-11-26,Republican,SenCapito,sencapito
M001183,-0.058,"Joe Manchin, III",1947-08-24,Democratic,Sen_JoeManchin,sen_joemanchin
B001230,-0.492,Tammy Baldwin,1962-02-11,Democratic,SenatorBaldwin,senatorbaldwin
J000293,0.602,Ron Johnson,1955-04-08,Republican,SenRonJohnson,senronjohnson
L000571,0.679,Cynthia M. Lummis,1954-09-10,Republican,SenLummis,senlummis
B001261,0.543,John Barrasso,1952-07-21,Republican,SenJohnBarrasso,senjohnbarrasso
